
Method=GET | Time=2026-05-22T09:12:27.860Z | URL=/

Method=GET | Time=2026-05-22T09:12:28.657Z | URL=/favicon.ico

Method=POST | Time=2026-05-22T09:52:28.101Z | URL=/api/auth/signup

Method=POST | Time=2026-05-22T10:03:49.275Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T10:07:49.512Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T10:08:05.425Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T10:11:11.403Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T15:49:12.007Z | URL=/api/auth/signup

Method=POST | Time=2026-05-22T15:50:03.635Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T15:51:37.931Z | URL=/api/auth/signup

Method=POST | Time=2026-05-22T15:51:42.158Z | URL=/api/auth/signup

Method=GET | Time=2026-05-22T16:22:34.192Z | URL=/

Method=GET | Time=2026-05-22T16:22:35.126Z | URL=/favicon.ico

Method=GET | Time=2026-05-22T16:22:35.832Z | URL=/

Method=POST | Time=2026-05-22T18:37:50.600Z | URL=/api/issues

Method=POST | Time=2026-05-22T18:38:40.984Z | URL=/api/auth/signup

Method=POST | Time=2026-05-22T18:39:09.497Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T18:39:27.097Z | URL=/api/issues

Method=POST | Time=2026-05-22T18:40:11.211Z | URL=/api/auth/signup

Method=POST | Time=2026-05-22T18:40:22.400Z | URL=/api/auth/login

Method=POST | Time=2026-05-22T18:40:38.320Z | URL=/api/issues

Method=POST | Time=2026-05-22T19:33:28.361Z | URL=/api/issues

Method=POST | Time=2026-05-22T19:33:48.345Z | URL=/api/issues

Method=POST | Time=2026-05-22T19:34:14.592Z | URL=/api/issues

Method=GET | Time=2026-05-22T19:34:23.055Z | URL=/api/issues

Method=GET | Time=2026-05-22T19:35:20.575Z | URL=/api/issues?type=bug

Method=GET | Time=2026-05-22T19:35:53.641Z | URL=/api/issues?status=open

Method=POST | Time=2026-05-22T19:37:30.559Z | URL=/api/issues

Method=POST | Time=2026-05-22T19:38:03.072Z | URL=/api/issues

Method=GET | Time=2026-05-22T19:41:19.706Z | URL=/api/issues?type=bug

Method=GET | Time=2026-05-22T19:41:42.660Z | URL=/api/issues?sort=oldest

Method=GET | Time=2026-05-22T19:46:22.863Z | URL=/api/issues

Method=POST | Time=2026-05-22T19:46:38.605Z | URL=/api/issues/4

Method=POST | Time=2026-05-22T19:46:50.594Z | URL=/api/issues/1

Method=POST | Time=2026-05-22T19:47:08.829Z | URL=/api/issues/1

Method=GET | Time=2026-05-22T19:47:42.441Z | URL=/api/issues/1

Method=GET | Time=2026-05-22T19:47:52.855Z | URL=/api/issues/4

Method=GET | Time=2026-05-22T19:54:26.499Z | URL=/api/issues/1

Method=POST | Time=2026-05-22T19:55:43.042Z | URL=/api/issues/1

Method=POST | Time=2026-05-22T19:56:24.456Z | URL=/api/issues/1

Method=PATCH | Time=2026-05-22T19:56:30.606Z | URL=/api/issues/1

Method=GET | Time=2026-05-22T19:56:47.595Z | URL=/api/issues/1

Method=POST | Time=2026-05-22T19:57:47.370Z | URL=/api/auth/login

Method=PATCH | Time=2026-05-22T19:58:08.217Z | URL=/api/issues/1

Method=POST | Time=2026-05-22T19:59:53.169Z | URL=/api/issues

Method=GET | Time=2026-05-22T20:00:04.410Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:00:41.266Z | URL=/api/issues/1

Method=PATCH | Time=2026-05-22T20:01:03.131Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:02:01.939Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:02:22.422Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:03:07.763Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:03:16.396Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:04:13.453Z | URL=/api/issues/5

Method=PATCH | Time=2026-05-22T20:04:42.081Z | URL=/api/issues/5
